date,Aave V3,Maple,Kamino Lend,Fluid Lending,Dolomite,Other
2025-05-01,151076.0,448.0,73033.0,8268.0,5228.0,124423.0
2025-05-02,157740.0,579.0,72801.0,7950.0,5000.0,108040.0
2025-05-03,159283.0,156.0,72076.0,5809.0,5163.0,139958.0
2025-05-04,157326.0,15.0,71967.0,7530.0,4821.0,93999.0
2025-05-05,160372.0,46623.0,71364.0,7959.0,5248.0,104767.0
2025-05-06,163843.0,26624.0,72559.0,8162.0,5411.0,104881.0
2025-05-07,168568.0,11690.0,72457.0,7228.0,6094.0,110547.0
2025-05-08,190761.0,14198.0,73553.0,12667.0,8349.0,124883.0
2025-05-09,196441.0,34266.0,75598.0,14807.0,11397.0,126403.0
2025-05-10,197664.0,732.0,74572.0,12192.0,7501.0,115299.0
2025-05-11,206905.0,752.0,73803.0,9717.0,5633.0,131125.0
2025-05-12,209066.0,15643.0,74537.0,12377.0,7358.0,134957.0
2025-05-13,225938.0,1465.0,76889.0,14523.0,7534.0,124172.0
2025-05-14,234291.0,23362.0,74414.0,12045.0,6017.0,115698.0
2025-05-15,242128.0,27673.0,73512.0,9779.0,6154.0,122766.0
2025-05-16,216060.0,759.0,70510.0,11496.0,6073.0,113232.0
2025-05-17,211741.0,589.0,61093.0,9050.0,5469.0,119081.0
2025-05-18,243902.0,938.0,61116.0,10160.0,5539.0,117264.0
2025-05-19,220501.0,8614.0,61430.0,11450.0,5696.0,127422.0
2025-05-20,222801.0,977.0,59293.0,12007.0,6092.0,118965.0
2025-05-21,231957.0,2850.0,63393.0,14468.0,5913.0,122565.0
2025-05-22,228841.0,25510.0,65569.0,11280.0,6140.0,167845.0
2025-05-23,230279.0,56113.0,67316.0,15034.0,11625.0,153759.0
2025-05-24,221309.0,1172.0,63916.0,10903.0,6603.0,134873.0
2025-05-25,222246.0,1246.0,65180.0,11051.0,6385.0,140144.0
2025-05-26,218012.0,1437.0,63245.0,10410.0,6563.0,148072.0
2025-05-27,230167.0,23491.0,62849.0,11644.0,7964.0,119707.0
2025-05-28,236511.0,18464.0,62005.0,11528.0,9301.0,191674.0
2025-05-29,239061.0,3249.0,68264.0,14025.0,7206.0,214110.0
2025-05-30,238584.0,25507.0,78469.0,11462.0,7392.0,146087.0
2025-05-31,237786.0,4569.0,71621.0,13088.0,6444.0,131643.0
