slug,name,gecko_id,latest_outstanding_loans,selected
aave-v3,Aave V3,aave,33539900577.0,yes
morpho-v1,Morpho V1,morpho,8233932230.0,yes
maple,Maple,syrup,4281437199.0,yes
kamino-lend,Kamino Lend,kamino,2299969062.0,yes
sparklend,SparkLend,spark-2,1722453416.0,yes
fluid-lending,Fluid Lending,instadapp,1613120035.0,no
euler-v2,Euler V2,euler,1606239494.0,no
jupiter-lend,Jupiter Lend,jupiter-exchange-solana,1269479685.0,no
compound-v3,Compound V3,compound-governance-token,1072419156.0,no
venus-core-pool,Venus Core Pool,venus,911708351.0,no
fira,Fira,,829439546.0,no
tydro,Tydro,,584940666.0,no
dolomite,Dolomite,dolomite,554057161.0,no
lista-lending,Lista Lending,lista,553295705.0,no
justlend,JustLend,just,374560287.0,no
hyperlend-pooled,HyperLend Pooled,,364661157.0,no
save,Save,save,284708370.0,no
cooler-loans,Cooler Loans,,249334990.0,no
navi-lending,NAVI Lending,navi,173930387.0,no
neverland,Neverland,,171869589.0,no
tectonic,Tectonic,tectonic,163729536.0,no
alphalend,AlphaLend,bluefin,126556960.0,no
suilend,Suilend,suilend,111464440.0,no
loopscale,Loopscale,,110004830.0,no
benqi-lending,Benqi Lending,benqi,104025309.0,no
venus-flux,Venus Flux,venus,102397087.0,no
cap,cap,,96484061.0,no
echelon-market,Echelon Market,,86760707.0,no
rhea-lend,Rhea Lend,rhea-2,78014381.0,no
curve-llamalend,Curve LlamaLend,curve-dao-token,76483679.0,no
blend-pools-v2,Blend Pools V2,,74050922.0,no
seamless-v2,Seamless V2,seamless-protocol,70913355.0,no
flux-finance,Flux Finance,,67449057.0,no
yeilend,YeiLend,yei-finance,62971656.0,no
moonwell-lending,Moonwell Lending,moonwell-artemis,57647466.0,no
gearbox,Gearbox,gearbox,50356951.0,no
silo-v2,Silo V2,silo-finance-2,49721202.0,no
curvance,Curvance,,49567901.0,no
project-0,Project 0,,42772247.0,no
hypurrfi-pooled,HypurrFi Pooled,,41810327.0,no
etherfi-borrowing-market,EtherFi Borrowing Market,ether-fi,41031572.0,no
hydration-lending,Hydration Lending,,38078594.0,no
aave-v2,Aave V2,aave,37863152.0,no
cream-lending,CREAM Lending,cream-2,33401042.0,no
kinetic,Kinetic,joule-2,29526664.0,no
realt-rmm-marketplace-v2,RealT RMM Marketplace V2,realtoken-ecosystem-governance,29260318.0,no
vires-finance,Vires Finance,vires-finance,29143682.0,no
compound-v2,Compound V2,compound-governance-token,28444086.0,no
capyfi,Capyfi,,26549683.0,no
termmax,TermMax,,25791331.0,no
wing-finance,Wing Finance,wing-finance,25011219.0,no
40-acres,40 Acres,,23164844.0,no
metalx-lending,MetalX Lending,proton-loan,21682034.0,no
folks-finance-lending,Folks Finance Lending,,21334305.0,no
aave-aptos,Aave Aptos,aave,20589072.0,no
colend-protocol,Colend Protocol,,20474543.0,no
rho-markets,Rho Markets,,19650723.0,no
scallop-lend,Scallop Lend,scallop-2,19399319.0,no
folks-finance-xchain,Folks Finance xChain,,17669789.0,no
layerbank,LayerBank,lineabank,16462287.0,no
vesu,Vesu,,16415801.0,no
carrot-lend,Carrot Lend,carrot-2,15991534.0,no
