slug,name,gecko_id,latest_outstanding_loans,selected
aave-v3,Aave V3,aave,34053842846.0,yes
morpho-v1,Morpho V1,morpho,8170011806.0,yes
maple,Maple,syrup,3897684364.0,yes
kamino-lend,Kamino Lend,kamino,1996705278.0,yes
sparklend,SparkLend,spark-2,1908214899.0,yes
euler-v2,Euler V2,euler,1618494532.0,no
fluid-lending,Fluid Lending,instadapp,1569046537.0,no
jupiter-lend,Jupiter Lend,jupiter-exchange-solana,1219651851.0,no
compound-v3,Compound V3,compound-governance-token,1076360034.0,no
venus-core-pool,Venus Core Pool,venus,915950707.0,no
fira,Fira,,837719739.0,no
dolomite,Dolomite,dolomite,631299832.0,no
tydro,Tydro,,587525563.0,no
justlend,JustLend,just,419022762.0,no
lista-lending,Lista Lending,lista,387742783.0,no
hyperlend-pooled,HyperLend Pooled,,326896280.0,no
save,Save,save,284158199.0,no
cooler-loans,Cooler Loans,,250155439.0,no
neverland,Neverland,,202481379.0,no
navi-lending,NAVI Lending,navi,177800319.0,no
tectonic,Tectonic,tectonic,163649316.0,no
alphalend,AlphaLend,bluefin,125886760.0,no
benqi-lending,Benqi Lending,benqi,105041636.0,no
venus-flux,Venus Flux,venus,103270200.0,no
loopscale,Loopscale,,101798331.0,no
cap,cap,,97217359.0,no
suilend,Suilend,suilend,89833404.0,no
echelon-market,Echelon Market,,81451560.0,no
rhea-lend,Rhea Lend,rhea-2,80511072.0,no
blend-pools-v2,Blend Pools V2,,74553862.0,no
curve-llamalend,Curve LlamaLend,curve-dao-token,73492612.0,no
seamless-v2,Seamless V2,seamless-protocol,71764936.0,no
flux-finance,Flux Finance,,67647536.0,no
moonwell-lending,Moonwell Lending,moonwell-artemis,62020738.0,no
curvance,Curvance,,55740316.0,no
yeilend,YeiLend,yei-finance,53368821.0,no
gearbox,Gearbox,gearbox,51871700.0,no
silo-v2,Silo V2,silo-finance-2,51605934.0,no
cream-lending,CREAM Lending,cream-2,47173834.0,no
project-0,Project 0,,42772247.0,no
etherfi-borrowing-market,EtherFi Borrowing Market,ether-fi,41514860.0,no
aave-v2,Aave V2,aave,38037986.0,no
hydration-lending,Hydration Lending,,37944304.0,no
hypurrfi-pooled,HypurrFi Pooled,,37147678.0,no
realt-rmm-marketplace-v2,RealT RMM Marketplace V2,realtoken-ecosystem-governance,29240909.0,no
vires-finance,Vires Finance,vires-finance,29145722.0,no
kinetic,Kinetic,joule-2,28703327.0,no
compound-v2,Compound V2,compound-governance-token,28446865.0,no
folks-finance-lending,Folks Finance Lending,,27994005.0,no
wing-finance,Wing Finance,wing-finance,27220148.0,no
capyfi,Capyfi,,26857577.0,no
termmax,TermMax,,25944149.0,no
40-acres,40 Acres,,23043994.0,no
metalx-lending,MetalX Lending,proton-loan,21251353.0,no
native-credit-pool,Native Credit Pool,,20821718.0,no
aave-aptos,Aave Aptos,aave,20192414.0,no
rho-markets,Rho Markets,,20060338.0,no
scallop-lend,Scallop Lend,scallop-2,19356100.0,no
folks-finance-xchain,Folks Finance xChain,,17715258.0,no
layerbank,LayerBank,lineabank,17319681.0,no
vesu,Vesu,,16518795.0,no
fraxlend,Fraxlend,frax-share,15080464.0,no
liqwid,Liqwid,liqwid-finance,14522629.0,no
templar-protocol,Templar Protocol,,11953383.0,no
aries-markets,Aries Markets,,10505093.0,no
zerolend-lending,ZeroLend Lending,zerolend,10414134.0,no
altitude.fi,Altitude.Fi,,9434235.0,no
zest-v2,Zest V2,,8945591.0,no
current,Current,,8926777.0,no
bamm,BAMM,frax-share,8893249.0,no
takara-lend,Takara Lend,,8887786.0,no
evaa-protocol,EVAA Protocol,,8766284.0,no
tropykus-rsk,Tropykus RSK,,8700993.0,no
aptin-finance-v2,Aptin Finance V2,,8396130.0,no
more-markets,MORE Markets,,7667888.0,no
purrlend,Purrlend,,7305021.0,no
bonzo-finance,Bonzo Finance,bonzo-finance,7153018.0,no
compound-blue,Compound Blue,,7087133.0,no
pac-finance,Pac Finance,,6567852.0,no
tarot,Tarot,tarot-2,6503971.0,no
primefi,PrimeFi,primefi,5669548.0,no
aave-v4,Aave V4,aave,5336199.0,no
zest-v1,Zest V1,,4752284.0,no
shoebill-v2,Shoebill V2,,4719633.0,no
unitus,Unitus,unitus-2,4355658.0,no
hatom-lending,Hatom Lending,hatom,3987526.0,no
radiant-v2,Radiant V2,radiant-capital,3719192.0,no
kinza-finance,Kinza Finance,,3674429.0,no
carrot-lend,Carrot Lend,carrot-2,3511344.0,no
bend,BEND,,3471372.0,no
affluent,Affluent,,3362392.0,no
moveposition,MovePosition,,2908569.0,no
umee,Umee,umee,2829742.0,no
colend-protocol,Colend Protocol,,2536206.0,no
ploutos-money,Ploutos Money,,2473687.0,no
