slug,name,gecko_id,latest_outstanding_loans,selected
aave-v3,Aave V3,,32402063340.0,no
morpho-v1,Morpho V1,,7687047826.0,no
maple,Maple,,3311315591.0,no
sparklend,SparkLend,,2018255753.0,no
fluid-lending,Fluid Lending,,1776138936.0,no
euler-v2,Euler V2,,1471324046.0,no
jupiter-lend,Jupiter Lend,,1387649150.0,no
kamino-lend,Kamino Lend,,1103646920.0,no
compound-v3,Compound V3,,1085633565.0,no
venus-core-pool,Venus Core Pool,,1029699339.0,no
fira,Fira,,801911092.0,no
lista-lending,Lista Lending,,670462321.0,no
dolomite,Dolomite,dolomite,533679694.0,no
tydro,Tydro,,528095812.0,no
justlend,JustLend,just,350678203.0,no
hyperlend-pooled,HyperLend Pooled,,336337054.0,no
save,Save,,282122011.0,no
cooler-loans,Cooler Loans,,249007098.0,no
navi-lending,NAVI Lending,,189491250.0,no
alphalend,AlphaLend,bluefin,118445366.0,no
benqi-lending,Benqi Lending,benqi,113495814.0,no
suilend,Suilend,,112208246.0,no
venus-flux,Venus Flux,,94964862.0,no
loopscale,Loopscale,,91002793.0,no
seamless-v2,Seamless V2,,85497284.0,no
neverland,Neverland,,84097555.0,no
tectonic,Tectonic,tectonic,82670580.0,no
cap,cap,,67408591.0,no
capyfi,Capyfi,,60635189.0,no
curve-llamalend,Curve LlamaLend,,56213162.0,no
gearbox,Gearbox,gearbox,56022578.0,no
hypurrfi-pooled,HypurrFi Pooled,,48135152.0,no
project-0,Project 0,,42772247.0,no
etherfi-borrowing-market,EtherFi Borrowing Market,,40833631.0,no
rhea-lend,Rhea Lend,,37869072.0,no
aave-v2,Aave V2,aave,37745625.0,no
flux-finance,Flux Finance,,33748192.0,no
echelon-market,Echelon Market,,33541676.0,no
blend-pools-v2,Blend Pools V2,,33158670.0,no
moonwell-lending,Moonwell Lending,,31183283.0,no
realt-rmm-marketplace-v2,RealT RMM Marketplace V2,,29345564.0,no
compound-v2,Compound V2,,29035845.0,no
silo-v2,Silo V2,,25596220.0,no
40-acres,40 Acres,,22855038.0,no
curvance,Curvance,,21428025.0,no
folks-finance-lending,Folks Finance Lending,,21201665.0,no
aave-aptos,Aave Aptos,,20008460.0,no
rho-markets,Rho Markets,,19301996.0,no
hydration-lending,Hydration Lending,,17336188.0,no
carrot-lend,Carrot Lend,,16120117.0,no
fraxlend,Fraxlend,,15525748.0,no
vesu,Vesu,,15488756.0,no
kinetic,Kinetic,joule-2,15285238.0,no
vires-finance,Vires Finance,vires-finance,14590772.0,no
yeilend,YeiLend,,13037300.0,no
termmax,TermMax,,13032240.0,no
templar-protocol,Templar Protocol,,12116888.0,no
wing-finance,Wing Finance,wing-finance,11818172.0,no
cream-lending,CREAM Lending,cream-2,11486733.0,no
metalx-lending,MetalX Lending,proton-loan,10874239.0,no
colend-protocol,Colend Protocol,,10599375.0,no
zerolend-lending,ZeroLend Lending,zerolend,10484626.0,no
layerbank,LayerBank,lineabank,10176023.0,no
scallop-lend,Scallop Lend,,9722993.0,no
more-markets,MORE Markets,,9567977.0,no
evaa-protocol,EVAA Protocol,,8307042.0,no
folks-finance-xchain,Folks Finance xChain,,8287206.0,no
bend,BEND,,8203296.0,no
native-credit-pool,Native Credit Pool,,7918095.0,no
bonzo-finance,Bonzo Finance,bonzo-finance,7366392.0,no
liqwid,Liqwid,liqwid-finance,7085685.0,no
pac-finance,Pac Finance,,6567852.0,no
tarot,Tarot,tarot-2,6012018.0,no
radiant-v2,Radiant V2,,5952782.0,no
aries-markets,Aries Markets,,5549105.0,no
primefi,PrimeFi,primefi,5212948.0,no
takara-lend,Takara Lend,,5180654.0,no
bamm,BAMM,,5067853.0,no
altitude.fi,Altitude.Fi,,4985840.0,no
compound-blue,Compound Blue,,4841955.0,no
zest-v1,Zest V1,,4825834.0,no
shoebill-v2,Shoebill V2,,4426517.0,no
tropykus-rsk,Tropykus RSK,,4273405.0,no
aptin-finance-v2,Aptin Finance V2,,4221146.0,no
purrlend,Purrlend,,4167101.0,no
hatom-lending,Hatom Lending,,4017501.0,no
extra-finance-xlend,Extra Finance Xlend,,3563839.0,no
alpaca-finance-2.0,Alpaca Finance 2.0,,2762243.0,no
umee,Umee,umee,2749296.0,no
superlend,Superlend,,2528238.0,no
ploutos-money,Ploutos Money,,2473687.0,no
wepiggy,WePiggy,wepiggy-coin,2293409.0,no
init-capital,INIT Capital,,2291739.0,no
unitus,Unitus,unitus-2,2257712.0,no
moveposition,MovePosition,,2242248.0,no
nostra-money-market,Nostra Money Market,,2218838.0,no
starlay-finance,Starlay Finance,starlay-finance,1890147.0,no
kinza-finance,Kinza Finance,,1845853.0,no
affluent,Affluent,,1815989.0,no
permapod,Permapod,,1811843.0,no
zest-v2,Zest V2,,1621678.0,no
sakefinance,SakeFinance,sone,1619364.0,no
termfinance-lend,TermFinance Lend,,1511112.0,no
canto-lending,Canto Lending,,1443920.0,no
hyperdrive-hl,Hyperdrive HL,,1401098.0,no
hundred-finance,Hundred Finance,hundred-finance,1389221.0,no
inertia,INERTIA,,1268940.0,no
kona-lend,Kona Lend,,1207904.0,no
fluidtokens,FluidTokens,fluidtokens,1207128.0,no
joe-lend,Joe Lend,,1202326.0,no
sovryn-lend,Sovryn Lend,,1196353.0,no
silo-v1,Silo V1,,1156314.0,no
mesher,Mesher,donkey-token,1075384.0,no
neptune-finance,Neptune Finance,,1002160.0,no
mendi-finance,Mendi Finance,mendi-finance,960858.0,no
tender-finance,Tender Finance,tender-fi,924542.0,no
filda,FilDA,filda,902160.0,no
daolama,DAOLama,,886134.0,no
lendle-pooled-markets,Lendle Pooled Markets,,844058.0,no
hydro-lending,Hydro Lending,,772529.0,no
pando-rings,Pando Rings,,737685.0,no
echo-lending,Echo Lending,,719522.0,no
parallel-lending,Parallel Lending,,707079.0,no
kava-lend,Kava Lend,kava-lend,688189.0,no
valas-finance,Valas Finance,valas-finance,684166.0,no
venus-isolated-pools,Venus Isolated Pools,,682996.0,no
paraspace-lending-v1,ParaSpace Lending V1,,680680.0,no
tokos,Tokos,,658890.0,no
sentiment,Sentiment,,642458.0,no
fungify,Fungify,fungify-token,635543.0,no
townsquare,TownSquare,,619713.0,no
joule-finance,Joule Finance,,608770.0,no
smartcredit,SmartCredit,smartcredit-token,603538.0,no
weft-v2,Weft V2,,508372.0,no
defituna-lending,DefiTuna Lending,,504375.0,no
hypurrfi-isolated,HypurrFi Isolated,,490250.0,no
amply-finance,Amply Finance,,463477.0,no
exactly,Exactly,exa,458737.0,no
shadelend,ShadeLend,,458600.0,no
unilend-protocol,Unilend Protocol,,449701.0,no
phiat-protocol,Phiat Protocol,phiat-protocol,408389.0,no
aurigami,Aurigami,aurigami,378214.0,no
radiant-v1,Radiant V1,,375999.0,no
iron-bank,Iron Bank,iron-bank,355750.0,no
